Time,Tensao_Inversor
0,149.99999994
1.85528e-25,149.99999994
1.85528e-25,-149.99999994
5.10203e-25,-149.99999994
5.10203e-25,-149.99999994
1.32189e-24,-149.99999994
1.32189e-24,-149.99999994
3.04271e-24,-149.99999994
3.04271e-24,149.99999994
6.75327e-24,149.99999994
6.75327e-24,149.99999994
1.40874e-23,149.99999994
1.40874e-23,149.99999994
1.90349e-23,149.99999994
1.90349e-23,149.99999994
2.89606e-23,149.99999994
2.89606e-23,-149.99999994
5.87888e-23,-149.99999994
5.87888e-23,-149.99999994
1.18521e-22,-149.99999994
1.18521e-22,-149.99999994
2.38075e-22,-149.99999994
2.38075e-22,149.99999994
4.772e-22,149.99999994
4.772e-22,149.99999994
9.55619e-22,149.9999999400001
9.55619e-22,149.9999999400001
1.27452e-21,149.99999994
1.27452e-21,149.99999994
1.91253e-21,149.9999999399999
1.91253e-21,-149.9999999400002
3.8264e-21,-149.9999999399997
3.8264e-21,-149.9999999399997
7.6541e-21,-149.9999999400006
7.6541e-21,-149.9999999400006
1.53101e-20,-149.9999999399988
1.53101e-20,149.9999999400012
3.06218e-20,149.9999999399976
3.06218e-20,149.9999999399976
6.1245e-20,149.9999999400049
6.1245e-20,149.9999999400049
8.16609e-20,149.99999994
8.16609e-20,149.99999994
1.22493e-19,149.9999999399902
1.22493e-19,-149.9999999400098
2.44987e-19,-149.9999999399804
2.44987e-19,-149.9999999399804
4.8997e-19,-149.9999999400393
4.8997e-19,-149.9999999400393
9.79958e-19,-149.9999999399215
9.79958e-19,149.9999999400785
1.95992e-18,149.999999939843
1.95992e-18,149.999999939843
3.91983e-18,149.9999999403141
3.91983e-18,149.9999999403141
5.22645e-18,149.99999994
5.22645e-18,149.99999994
7.83974e-18,149.9999999393718
7.83974e-18,-149.9999999406282
1.56794e-17,-149.9999999387437
1.56794e-17,-149.9999999387437
3.13584e-17,-149.9999999425126
3.13584e-17,-149.9999999425126
6.27179e-17,-149.9999999349745
6.27179e-17,149.9999999450255
1.25436e-16,149.9999999299495
1.25436e-16,149.9999999299495
2.50871e-16,149.9999999601013
2.50871e-16,149.9999999601012
3.34495e-16,149.9999999399998
3.34495e-16,149.9999999399998
5.01747e-16,149.9999998997963
5.01747e-16,-149.9999999802038
